step,train_loss,val_loss,lr,tokens,wall_clock
10,2.073615550994873,1.5302941262722016,0.000165,163840,10
20,1.1180014163255692,1.6736980855464936,0.0003,327680,20
30,0.6823883913457394,1.656398355960846,0.0002979490466566481,491520,30
40,0.49586213007569313,1.6033021688461304,0.00029185850380609757,655360,40
50,0.36785681173205376,1.5947946429252624,0.0002819134295108992,819200,50
60,0.27978111431002617,1.568055808544159,0.000268415999821062,983040,60
70,0.2182637881487608,1.5800569713115693,0.0002517763273076828,1146880,70
80,0.17320534214377403,1.5196818113327026,0.00023249999999999999,1310720,80
90,0.1407050248235464,1.5748912394046783,0.00021117271934896527,1474560,90
100,0.11885393178090453,1.5845886051654816,0.0001884425039850356,1638400,100
110,0.10317276371642947,1.5592648923397063,0.000165,1802240,110
120,0.09080343088135123,1.560488373041153,0.0001415574960149644,1966080,120
130,0.08210433786734939,1.5654692709445954,0.00011882728065103471,2129920,130
140,0.07462521851994097,1.5527796804904939,9.750000000000003e-05,2293760,140
150,0.06916860700584948,1.535635632276535,7.822367269231717e-05,2457600,150
160,0.06533028231933713,1.5446862280368805,6.158400017893799e-05,2621440,160
170,0.06223766622133553,1.5385125517845153,4.808657048910077e-05,2785280,170
180,0.060624560341238976,1.5405051350593566,3.814149619390237e-05,2949120,180
190,0.05910802911967039,1.5430782437324524,3.205095334335192e-05,3112960,190
200,0.05773052270524204,1.595119547843933,2.9999999999999997e-05,3276800,200
