step,train_loss,val_loss,lr,tokens,wall_clock
10,2.0756671726703644,1.4869210183620454,0.000165,163840,10
20,1.1003979071974754,1.6572669565677642,0.0003,327680,20
30,0.6804261058568954,1.6248013436794282,0.0002979490466566481,491520,30
40,0.4974948838353157,1.5679570436477661,0.00029185850380609757,655360,40
50,0.3733529206365347,1.5728373527526855,0.0002819134295108992,819200,50
60,0.28955298848450184,1.5605688869953156,0.000268415999821062,983040,60
70,0.2266832198947668,1.526833313703537,0.0002517763273076828,1146880,70
80,0.18284177873283625,1.5827786684036256,0.00023249999999999999,1310720,80
90,0.14744334015995264,1.5458955705165862,0.00021117271934896527,1474560,90
100,0.1251826575025916,1.595593374967575,0.0001884425039850356,1638400,100
110,0.10780149232596159,1.542686104774475,0.000165,1802240,110
120,0.09461862221360207,1.529498565196991,0.0001415574960149644,1966080,120
130,0.08548641810193658,1.531927901506424,0.00011882728065103471,2129920,130
140,0.07808387861587107,1.5682429075241089,9.750000000000003e-05,2293760,140
150,0.07297227461822331,1.563095098733902,7.822367269231717e-05,2457600,150
160,0.0688612568192184,1.5378853321075439,6.158400017893799e-05,2621440,160
170,0.06599837634712458,1.5093460202217102,4.808657048910077e-05,2785280,170
180,0.06371811404824257,1.5182638704776763,3.814149619390237e-05,2949120,180
190,0.061940092127770185,1.5141434073448181,3.205095334335192e-05,3112960,190
200,0.06036620284430683,1.5832739770412445,2.9999999999999997e-05,3276800,200
