step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl
0,,,,0,0,31.903875386436905
250,1.5839208364486694,1.6202044010162353,8.664705771097085e-05,2048000,250,4.962000094719998
500,1.4031859636306763,1.5499948799610137,6.813263402811167e-05,4096000,500,4.685951241605162
750,1.3854150772094727,1.5120895028114318,4.1260031471368346e-05,6144000,750,4.540295061964359
1000,1.4061245918273926,1.4918700754642487,1.8083692726470996e-05,8192000,1000,4.481279019212056
1250,1.3615576028823853,1.4702580392360687,9e-06,10240000,1250,4.445328697611555
