step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl,ewc_penalty,retention_ppl
0,,,,0,0,31.903875386436905,0.0,2.107553076833866
250,3.3454108238220215,3.19828782081604,8.664705771097085e-05,2048000,250,24.46903688460766,0.12057942897081375,2.1082580693679276
500,3.036022186279297,3.0049822449684145,6.813263402811167e-05,4096000,500,20.53997203074472,0.12668783962726593,2.108368046744184
750,3.04050612449646,2.9017691612243652,4.1260031471368346e-05,6144000,750,18.076646880053563,0.11044503003358841,2.1083652109280817
1000,2.9595866203308105,2.794667959213257,1.8083692726470996e-05,8192000,1000,16.683127819570537,0.09104467928409576,2.1081795872037365
1250,2.8781840801239014,2.7740431904792784,9e-06,10240000,1250,16.211242472545788,0.07656506448984146,2.108236650427832
