step,train_loss,val_loss,lr,tokens,wall_clock,role_norm_assistant,role_norm_system,role_norm_user
1025,1.5048924684524536,1.4878278493881225,1.64127193330771e-05,8396800,1025,1.7913012504577637,1.9033042192459106,1.91727876663208
1050,1.45187509059906,1.4918585896492005,1.4896014115867212e-05,8601600,1050,1.790859580039978,1.9032917022705078,1.9172132015228271
1075,1.453465461730957,1.4828335106372834,1.3540648654703805e-05,8806400,1075,1.7906650304794312,1.9033665657043457,1.9171643257141113
1100,1.528072714805603,1.5198855102062225,1.2352942289029163e-05,9011200,1100,1.790107011795044,1.9033721685409546,1.9171199798583984
1125,1.4475393295288086,1.509751796722412,1.1338432654187774e-05,9216000,1125,1.7898424863815308,1.9034143686294556,1.9170805215835571
1150,1.3503371477127075,1.4941740870475768,1.0501849862414136e-05,9420800,1150,1.789632797241211,1.903496503829956,1.917001724243164
1175,1.5284483432769775,1.5064175486564637,9.847094448865923e-06,9625600,1175,1.789432168006897,1.9036085605621338,1.9169689416885376
1200,1.3398841619491577,1.5040543258190155,9.377219185528606e-06,9830400,1200,1.789090633392334,1.9037269353866577,1.9169394969940186
1225,1.51800537109375,1.5019949436187745,9.09441484778316e-06,10035200,1225,1.7888635396957397,1.9036895036697388,1.9169142246246338
1250,1.4483999013900757,1.4748880445957184,9e-06,10240000,1250,1.7886676788330078,1.9037009477615356,1.9169073104858398
