step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl
0,,,,0,0,31.903875386436905
250,1.5112990140914917,1.5861497521400452,0.00028882352570323616,2048000,250,4.804448206653153
500,1.331432580947876,1.5253903150558472,0.00022710878009370554,4096000,500,4.574286863399333
750,1.2743189334869385,1.4707975924015044,0.00013753343823789445,6144000,750,4.367986361885682
1000,1.260439157485962,1.4419837474822998,6.0278975754903317e-05,8192000,1000,4.263465668284252
1250,1.2088457345962524,1.4138314604759217,2.9999999999999997e-05,10240000,1250,4.2034246348285365
