step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl,ewc_penalty,retention_ppl
0,,,,0,0,31.903875386436905,0.0,2.107553076833866
250,1.6228983402252197,1.649534386396408,8.664705771097085e-05,2048000,250,5.101730214672719,0.08022080361843109,3.9020211856504012
500,1.474348783493042,1.599087542295456,6.813263402811167e-05,4096000,500,4.9248778907237245,0.10145842283964157,3.763450964763505
750,1.4818487167358398,1.5714338898658753,4.1260031471368346e-05,6144000,750,4.810918533327179,0.10666009038686752,3.725033253662016
1000,1.5162909030914307,1.5555256485939026,1.8083692726470996e-05,8192000,1000,4.76470689922563,0.10695599019527435,3.8270317065539947
1250,1.4756793975830078,1.5332754373550415,9e-06,10240000,1250,4.7297648435089465,0.10666776448488235,3.781300975354022
