step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl
0,,,,0,0,31.903875386436905
250,1.6852082014083862,1.6436201632022858,8.664705771097085e-05,2048000,250,5.066486831183722
500,1.431186556816101,1.5648374617099763,6.813263402811167e-05,4096000,500,4.749279583187515
750,1.4529694318771362,1.52116357088089,4.1260031471368346e-05,6144000,750,4.596949761622727
1000,1.4756964445114136,1.4960789561271668,1.8083692726470996e-05,8192000,1000,4.504480818832343
1250,1.4483999013900757,1.4748880743980408,9e-06,10240000,1250,4.470551285054956
