step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl
0,,,,0,0,31.903875386436905
250,1.7692763805389404,1.7733634889125824,2.8882352570323616e-05,2048000,250,5.617320679268205
500,1.5182381868362427,1.625331276655197,2.2710878009370556e-05,4096000,500,5.038935041473077
750,1.5122873783111572,1.5870162904262544,1.3753343823789447e-05,6144000,750,4.873342018740723
1000,1.5458396673202515,1.564099758863449,6.027897575490332e-06,8192000,1000,4.808041473913997
1250,1.5103305578231812,1.544549685716629,3e-06,10240000,1250,4.777057616588153
