step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl,ewc_penalty,retention_ppl
0,,,,0,0,31.903875386436905,0.0,2.107553076833866
250,1.623079776763916,1.649435245990753,8.970470940097119e-05,2048000,250,5.101385316571219,0.08073534071445465,3.904004997455472
500,1.476379156112671,1.602716326713562,8.79157258988594e-05,4096000,500,4.942488727109795,0.10602331161499023,3.7456281129779407
750,1.4877406358718872,1.5794104278087615,8.457402885326977e-05,6144000,750,4.847277121669083,0.11753696948289871,3.7100216674147704
1000,1.5264637470245361,1.5653079450130463,7.981468530092959e-05,8192000,1000,4.80924814050543,0.12376952916383743,3.7661998667950867
1250,1.4724252223968506,1.5437454581260681,7.383006170163816e-05,10240000,1250,4.780273135137424,0.12773261964321136,3.871977314261935
1500,1.4214669466018677,1.547969001531601,6.68620487368237e-05,12288000,1500,4.756338648857204,0.13088518381118774,3.8482618508629205
1750,1.484784483909607,1.5398354470729827,5.91922844036461e-05,14336000,1750,4.689524406876208,0.13307954370975494,3.8653887704224634
2000,1.4616804122924805,1.5241568863391877,5.113077057443132e-05,16384000,2000,4.667032887246345,0.13425453007221222,3.8900559041871747
2250,1.360503077507019,1.5548619329929352,4.3003343125260716e-05,18432000,2250,4.648969835669674,0.13442392647266388,3.8172815238903914
2500,1.4265106916427612,1.550490254163742,3.51385020747773e-05,20480000,2500,4.634936962100612,0.13436351716518402,3.739592810762502
2750,1.4179658889770508,1.5381382882595063,2.7854134041824055e-05,22528000,2750,4.614260034310381,0.13473086059093475,3.7375389217112276
3000,1.4021317958831787,1.5405865550041198,2.144466368286123e-05,24576000,3000,4.601988074233937,0.13458186388015747,3.844037279272507
3250,1.3925811052322388,1.5313350796699523,1.616915343130692e-05,26624000,3250,4.594802911467208,0.13443973660469055,3.869203821710161
3500,1.3766279220581055,1.5248343110084535,1.2240832531817622e-05,28672000,3500,4.57788428384689,0.13449232280254364,3.8089345521560536
3750,1.3839240074157715,1.528430563211441,9.81847859228816e-06,30720000,3750,4.5745301035880646,0.13433311879634857,3.857582036729307
4000,1.4012203216552734,1.5235939979553224,9e-06,32768000,4000,4.573349214207799,0.13435843586921692,3.891139975617828
