step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl
0,,,,0,0,31.903875386436905
250,1.6109031438827515,1.6250234246253967,8.664705771097085e-05,2048000,250,5.083274782231283
500,1.5214852094650269,1.5722951889038086,6.813263402811167e-05,4096000,500,4.754248438966964
750,1.42427396774292,1.515087503194809,4.1260031471368346e-05,6144000,750,4.58893616923558
1000,1.4592478275299072,1.5073305308818816,1.8083692726470996e-05,8192000,1000,4.505348523045949
1250,1.3391752243041992,1.4852010369300843,9e-06,10240000,1250,4.472255336552455
