step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl,ewc_penalty,retention_ppl
0,,,,0,0,31.903875386436905,0.0,2.107553076833866
250,2.0855705738067627,2.0647822499275206,8.664705771097085e-05,2048000,250,7.68767398972317,0.26030397415161133,2.417370087862875
500,1.93619704246521,2.012262785434723,6.813263402811167e-05,4096000,500,7.505494948149555,0.2397613525390625,2.396993217653582
750,2.00325870513916,2.0057234346866606,4.1260031471368346e-05,6144000,750,7.355570141782422,0.22104744613170624,2.539159687282423
1000,2.0262279510498047,1.9762228310108185,1.8083692726470996e-05,8192000,1000,7.256981926575809,0.2024262249469757,2.675697854517862
1250,1.977470874786377,1.9597815871238708,9e-06,10240000,1250,7.2144461980601085,0.19543276727199554,2.773382130706419
