step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl,ewc_penalty,retention_ppl
0,,,,0,0,31.903875386436905,0.0,2.107553076833866
250,1.7886216640472412,1.7884513914585114,8.664705771097085e-05,2048000,250,5.8306489848743555,0.16021357476711273,2.935499979226591
500,1.6755859851837158,1.7534421682357788,6.813263402811167e-05,4096000,500,5.76627952747008,0.1527738869190216,2.9455521320146234
750,1.7109243869781494,1.7463266789913177,4.1260031471368346e-05,6144000,750,5.704278540909441,0.1436709612607956,2.937711500583025
1000,1.7534005641937256,1.7296907365322114,1.8083692726470996e-05,8192000,1000,5.6658853275381835,0.13591472804546356,3.021710646634031
1250,1.7174166440963745,1.710508406162262,9e-06,10240000,1250,5.635483450216278,0.13236914575099945,3.005652733046671
