step,train_loss,val_loss,lr,tokens,wall_clock,dialog_ppl,ewc_penalty,retention_ppl
0,,,,0,0,31.903875386436905,0.0,2.107553076833866
250,2.6567587852478027,2.567102313041687,8.664705771097085e-05,2048000,250,12.811292295852667,0.3391878604888916,2.144008802898833
500,2.3931384086608887,2.4217693209648132,6.813263402811167e-05,4096000,500,11.360137617236154,0.30266183614730835,2.136710674501598
750,2.480419158935547,2.3954393029212953,4.1260031471368346e-05,6144000,750,10.90912437164092,0.25561150908470154,2.1375660532553233
1000,2.464688301086426,2.3528738379478455,1.8083692726470996e-05,8192000,1000,10.621298016560969,0.22499777376651764,2.134362245397229
1250,2.4029626846313477,2.3437227249145507,9e-06,10240000,1250,10.555185870602923,0.21916845440864563,2.135070087894234
