step,train_loss,val_loss,lr,tokens,wall_clock
10,2.1371827125549316,1.5125420689582825,0.000165,20480,10
20,1.4155768156051636,1.6933025956153869,0.0003,40960,20
30,0.6509407758712769,2.0886841833591463,0.0002979490466566481,61440,30
40,0.48843610286712646,2.1995177805423736,0.00029185850380609757,81920,40
50,0.46247410774230957,2.2370123147964476,0.0002819134295108992,102400,50
60,0.29432111978530884,2.322213292121887,0.000268415999821062,122880,60
70,0.1807541698217392,2.343542742729187,0.0002517763273076828,143360,70
80,0.26970940828323364,2.3822946667671205,0.00023249999999999999,163840,80
90,0.1959524154663086,2.4408907532691955,0.00021117271934896527,184320,90
100,0.1372862309217453,2.467352557182312,0.0001884425039850356,204800,100
110,0.07193681597709656,2.5717979669570923,0.000165,225280,110
120,0.08813789486885071,2.611601412296295,0.0001415574960149644,245760,120
130,0.13798516988754272,2.6012701988220215,0.00011882728065103471,266240,130
140,0.07830145210027695,2.5930732250213624,9.750000000000003e-05,286720,140
150,0.09944944828748703,2.5981547474861144,7.822367269231717e-05,307200,150
160,0.090605229139328,2.6551251292228697,6.158400017893799e-05,327680,160
170,0.09694671630859375,2.6558340311050417,4.808657048910077e-05,348160,170
180,0.09748547524213791,2.6436208963394163,3.814149619390237e-05,368640,180
190,0.059163451194763184,2.6366060853004454,3.205095334335192e-05,389120,190
200,0.08863335102796555,2.6456878900527956,2.9999999999999997e-05,409600,200
