step,train_loss,val_loss,lr,tokens,wall_clock
10,1.3315714597702026,1.5729824900627136,0.000165,20480,10
20,1.5249643325805664,1.5560580253601075,0.0003,40960,20
30,1.5285223722457886,1.4933017075061799,0.0002979490466566481,61440,30
40,1.2951072454452515,1.5066711246967315,0.00029185850380609757,81920,40
50,1.6302757263183594,1.53524569272995,0.0002819134295108992,102400,50
60,1.5606831312179565,1.5490663051605225,0.000268415999821062,122880,60
70,1.463868260383606,1.5352337062358856,0.0002517763273076828,143360,70
80,1.6144301891326904,1.5098861694335937,0.00023249999999999999,163840,80
90,1.2781225442886353,1.5052940845489502,0.00021117271934896527,184320,90
100,1.473494291305542,1.5467215359210968,0.0001884425039850356,204800,100
110,1.5343443155288696,1.5422325611114502,0.000165,225280,110
120,1.5553679466247559,1.5490174412727356,0.0001415574960149644,245760,120
130,1.513308048248291,1.5401288330554963,0.00011882728065103471,266240,130
140,1.2773473262786865,1.5528054594993592,9.750000000000003e-05,286720,140
150,1.5585236549377441,1.5514521598815918,7.822367269231717e-05,307200,150
160,1.5405009984970093,1.4914405643939972,6.158400017893799e-05,327680,160
170,1.4982963800430298,1.4941647231578827,4.808657048910077e-05,348160,170
180,1.5752760171890259,1.5120499074459075,3.814149619390237e-05,368640,180
190,1.566864013671875,1.5246728479862213,3.205095334335192e-05,389120,190
200,1.4656336307525635,1.5029082000255585,2.9999999999999997e-05,409600,200
