step,train_loss,val_loss,lr,tokens,wall_clock
10,2.0709421783685684,1.5041130661964417,0.000165,163840,10
20,1.1207373887300491,1.6511494278907777,0.0003,327680,20
30,0.6927004531025887,1.6459457576274872,0.0002979490466566481,491520,30
40,0.5055624507367611,1.6137663006782532,0.00029185850380609757,655360,40
50,0.37858493626117706,1.5811568975448609,0.0002819134295108992,819200,50
60,0.291860893368721,1.5434996843338014,0.000268415999821062,983040,60
70,0.2288116356357932,1.5776363015174866,0.0002517763273076828,1146880,70
80,0.18325102981179953,1.566991239786148,0.00023249999999999999,1310720,80
90,0.14940488804131746,1.536046141386032,0.00021117271934896527,1474560,90
100,0.12658675527200103,1.5338043451309205,0.0001884425039850356,1638400,100
110,0.11009838478639722,1.509374862909317,0.000165,1802240,110
120,0.0970810716971755,1.5386306643486023,0.0001415574960149644,1966080,120
130,0.08815505122765899,1.5403949916362762,0.00011882728065103471,2129920,130
140,0.08079435583204031,1.5862138092517852,9.750000000000003e-05,2293760,140
150,0.07484058570116758,1.5320874750614166,7.822367269231717e-05,2457600,150
160,0.07112416229210794,1.5055499970912933,6.158400017893799e-05,2621440,160
170,0.06822283030487597,1.5711745262145995,4.808657048910077e-05,2785280,170
180,0.06603502086363733,1.547676181793213,3.814149619390237e-05,2949120,180
190,0.06403978448361158,1.559409934282303,3.205095334335192e-05,3112960,190
200,0.06249918136745691,1.5280039072036744,2.9999999999999997e-05,3276800,200
